id,kategorie,subkategorie,frage,tipp1,tipp2,loesung,status
16,A) Welt & Natur,Flüsse Seen & Meere,Wie lange dauert es theoretisch für ein Wassermolekül - eine komplette Runde im globalen Förderband zu absolvieren?,Das Wassermolekül bewegt sich durch alle Ozeane; die Dauer ist dreistellig,Die Dauer liegt zwischen 900 und 1100 Jahren,1000,todo
17,A) Welt & Natur,Flüsse Seen & Meere,Wie viele Inseln hat Schweden offiziell?,Es ist das Land mit den meisten Inseln der Welt; die Anzahl ist sechsstellig.,Die Anzahl liegt zwischen 200.000 und 300.000.,267.570,todo
18,A) Welt & Natur,Flüsse Seen & Meere,Wie hoch ist der durchschnittliche Salzgehalt der Ozeane?,Ostsee-Wasser ist deutlich salzärmer als der Durchschnitt der Ozeane,Der Salzgehalt liegt zwischen 30 und 40 Gramm pro Kilogramm Wasser,35,todo
19,A) Welt & Natur,Flüsse Seen & Meere,Wie oft passt die Länge eines bekannten europäischen Flusses in die eines bekannten südamerikanischen Flusses (auf eine Nachkommastelle)?,Der europäische Fluss ist der Rhein; der südamerikanische Fluss ist der Amazonas,Der Rhein ist ca. 1230 km lang; der Amazonas ca. 6400 km,4.4,todo
20,A) Welt & Natur,Flüsse Seen & Meere,Wie viele von der UNESCO erfasste Schiffswracks liegen schätzungsweise am Meeresgrund?,Weniger als 1% davon wurden bisher erforscht; die Zahl ist siebenstellig,Die Zahl liegt zwischen 2 und 4 Millionen,3 Millionen,todo
21,A) Welt & Natur,Länder & Landschaften,Wie viele Staaten sind aktuell Mitglied der Vereinten Nationen?,Die Vereinten Nationen sind eine internationale Organisation; der letzte Beitritt war 2011.,Die Anzahl der Mitgliedstaaten ist dreistellig; zwischen 190 und 200.,193,todo
22,A) Welt & Natur,Länder & Landschaften,Wie oft passt die Fläche Deutschlands in die Fläche eines anderen Landes?,Das gesuchte Land ist das flächengrößte der Erde; dreistellige Antwort,Das Land ist Russland; die Antwort liegt zwischen 40 und 60,48,todo
23,A) Welt & Natur,Länder & Landschaften,Über wie viele Zeitzonen erstreckt sich das Staatsgebiet eines großen europäischen Landes mit Überseegebieten?,Inklusive aller Überseegebiete; zweistellig,Zwischen 10 und 15,12,todo
24,A) Welt & Natur,Länder & Landschaften,Wie viele Menschen lebten 2023 laut offizieller Schätzung in der Vatikanstadt?,Es ist der kleinste Staat der Welt; die Einwohnerzahl ist dreistellig.,Die Zahl liegt zwischen 700 und 900.,800,todo
25,A) Welt & Natur,Länder & Landschaften,Wie viele direkte Nachbarländer hat die Volksrepublik China?,China hat genauso viele Nachbarländer wie ein anderes großes Land in Eurasien.,Die Anzahl liegt zwischen 10 und 20.,14,todo
26,A) Welt & Natur,Länder & Landschaften,Welcher Anteil der Weltbevölkerung lebte 2023 auf dem asiatischen Kontinent?,China und Indien allein stellen schon einen großen Teil; der Wert ist prozentual zweistellig,Der Anteil liegt zwischen 50 und 70 Prozent,59,todo
27,A) Welt & Natur,Länder & Landschaften,Wie viele antike Pyramiden wurden im Sudan bisher entdeckt?,Es gibt mehr Pyramiden im Sudan als in Ägypten; dreistellige Zahl,Die Anzahl liegt zwischen 200 und 300; Stand 2020,255,todo
28,A) Welt & Natur,Länder & Landschaften,Wie lang ist die gemeinsame Grenze zwischen den USA und Kanada?,Es ist die längste unbewachte Grenze der Welt.,Die Grenze ist zwischen 8000 und 9000 Kilometer lang; Einheit: Kilometer,8891,todo
29,A) Welt & Natur,Länder & Landschaften,Wie viele Seen gibt es in Kanada - die laut Regierungsangaben eine bestimmte Mindestgröße überschreiten?,Kanada hat mehr Seen als der Rest der Welt zusammen; die Anzahl ist fünfstellig.,Die Anzahl liegt zwischen 30.000 und 40.000; die Mindestgröße der Seen beträgt 3 Hektar.,31.752,todo
30,A) Welt & Natur,Länder & Landschaften,Wie oft passt die Fläche eines kleineren deutschen Bundeslandes in die Fläche des größten deutschen Bundeslandes?,Das größte Bundesland ist Bayern; das kleinere Bundesland ist das Saarland.,Die Zahl ist zweistellig; zwischen 20 und 30.,27,todo
31,A) Welt & Natur,Städte & Lage & Distanzen,Wie weit ist die Großkreis-Entfernung (Luftlinie) zwischen Berlin und New York?,Ein Flug dauert etwa 8-9 Stunden,Die Entfernung liegt zwischen 6000 und 7000 Kilometern,6391,todo
32,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Haltestellen hat das derzeitige U-Bahn-Netz von New York City?,Es ist eines der größten U-Bahn-Netze der Welt; die Anzahl ist dreistellig,Die Anzahl liegt zwischen 400 und 500,472,todo
33,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Einwohner zählt die Metropolregion Tokio laut Zensus 2020?,Es ist der größte Ballungsraum der Welt; die Einwohnerzahl ist achtstellig.,Die Einwohnerzahl liegt zwischen 30 und 40 Millionen.,37,todo
34,A) Welt & Natur,Städte & Lage & Distanzen,Wie lang ist die Chinesische Mauer inklusive aller Verzweigungen laut chinesischer Messung 2012?,Sie ist länger als die Strecke von Deutschland nach Australien.,Die Länge liegt zwischen 20.000 und 25.000; Einheit: Kilometer,21196,todo
35,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Brücken gibt es in der Stadt Hamburg?,Hamburg hat mehr Brücken als Venedig - Amsterdam und London zusammen.,Die Anzahl liegt zwischen 2000 und 3000.,2500,todo
36,A) Welt & Natur,Städte & Lage & Distanzen,Wie groß ist der Umfang der Erde am Äquator?,Die Erde ist am Äquator etwas dicker als über die Pole; die Zahl ist fünfstellig.,Der Umfang liegt zwischen 40.000 und 41.000; Einheit: Kilometer.,40075,todo
37,A) Welt & Natur,Städte & Lage & Distanzen,Wie weit ist die Strecke auf der Straße vom Nordkapp in Norwegen bis nach Kapstadt in Südafrika?,Es geht einmal längs durch Europa und Afrika; die Strecke ist fünfstellig,Die Entfernung beträgt zwischen 20.000 und 25.000 Kilometer,21.000,todo
38,A) Welt & Natur,Städte & Lage & Distanzen,Wie weit ist die Luftlinie zwischen dem nördlichsten und südlichsten Punkt Deutschlands?,Der nördlichste Punkt liegt auf einer Insel; der südlichste in den Alpen,Die Entfernung ist dreistellig; Einheit: Kilometer,876,todo
39,A) Welt & Natur,Städte & Lage & Distanzen,Auf welcher Höhe liegt der Bahnhofsvorplatz von Davos?,Davos gilt als die höchste Stadt Europas; die Höhe ist vierstellig,Die Höhe liegt zwischen 1500 und 1600 Metern über dem Meeresspiegel,1560,todo
40,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Pubs gab es 2019 in Greater London laut ONS-Statistik?,London ist bekannt für seine Pub-Kultur; die Zahl ist vierstellig,Die Anzahl liegt zwischen 3.000 und 4.000,3.640,todo
41,A) Welt & Natur,Wetter & Klima-Rekorde,Welches ist die höchste offiziell anerkannte Temperatur - die je auf Erden gemessen wurde?,Ort: Death Valley - USA; Jahr: 1913,Die Temperatur liegt zwischen 50 und 60 Grad Celsius,56.7,todo
42,A) Welt & Natur,Wetter & Klima-Rekorde,Welches ist die tiefste direkt gemessene Temperatur auf Erden?,Ort: Wostok-Station - Antarktis; Jahr: 1983,Die Temperatur liegt im zweistelligen Minusbereich; Einheit: °C,-89.2,todo
43,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Blitze werden weltweit durchschnittlich pro Sekunde registriert?,Die Zahl ist zweistellig; es handelt sich um eine globale Messung,Die Anzahl liegt zwischen 30 und 60,44,todo
44,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viel Regen fiel beim Weltrekord innerhalb von nur einer Minute?,Ort: Unionville - USA (1956); die Menge ist dreistellig,Die Menge liegt zwischen 20 und 50; Einheit: Millimeter,31.8,todo
45,A) Welt & Natur,Wetter & Klima-Rekorde,Wie schwer war das schwerste offiziell gewogene Hagelkorn?,Gefunden in Bangladesch im Jahr 1986; Gewicht in Kilogramm,Das Gewicht liegt knapp über 1 Kilogramm,1.02,todo
46,A) Welt & Natur,Wetter & Klima-Rekorde,Welche Windgeschwindigkeit erreichte der stärkste Tornado in der Doppler-Radar-Messung?,Ort: Oklahoma - USA; Jahr: 1999,Die Geschwindigkeit war dreistellig; Einheit: km/h,486,todo
47,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Gewitter gibt es weltweit zu jedem beliebigen Zeitpunkt?,Die Tropen sind besonders aktiv; die Zahl ist vierstellig,Die Zahl liegt zwischen 1.000 und 3.000,2.000,todo
48,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viel Wasser verdunstet eine ausgewachsene Eiche an einem heißen Sommertag?,Der Baum fungiert als riesige Klimaanlage; die Menge ist dreistellig,Die Menge liegt zwischen 300 und 500 Litern,400,todo
49,A) Welt & Natur,Wetter & Klima-Rekorde,Wie hoch war die mittlere Jahrestemperatur in Deutschland im Rekordjahr 2023?,Es war das wärmste Jahr seit Messbeginn; die Temperatur ist zweistellig,Die Temperatur liegt zwischen 10 und 15 Grad Celsius,11.5,todo
50,A) Welt & Natur,Wetter & Klima-Rekorde,Wie hoch ist die geschätzte Anzahl aller Schneeflocken - die pro Jahr weltweit fallen?,Es handelt sich um eine sehr große Zahl; die Zahl ist zweistellig im Exponenten.,Die Zahl liegt zwischen 10 hoch 20 und 10 hoch 30.,24,todo
51,A) Welt & Natur,Naturphänomene,Wie viele Vulkane werden von der Smithsonian Institution als aktiv eingestuft?,Als aktiv gilt ein Vulkan mit einem Ausbruch in den letzten 10.000 Jahren; die Zahl ist vierstellig,Die Anzahl liegt zwischen 1000 und 2000,1357,todo
52,A) Welt & Natur,Naturphänomene,Wie viele Erdbeben der Stärke 6.0 oder höher ereignen sich im langjährigen Mittel jährlich?,Erdbeben dieser Stärke können weltweit auftreten und erhebliche Schäden verursachen; die Anzahl ist dreistellig.,Die Anzahl liegt zwischen 50 und 150.,100,todo
53,A) Welt & Natur,Naturphänomene,Wie hoch war der höchste dokumentierte Tsunami durch einen Erdrutsch?,Ort: Lituya Bay - Alaska (1958); die Höhe war dreistellig,Zwischen 500 und 600; Einheit: Meter,524,todo
54,A) Welt & Natur,Naturphänomene,Wie lange dauerte die längste Bruchphase beim Sumatra-Andaman-Beben 2004?,Es war eines der längsten Beben der Geschichte; die Dauer ist dreistellig,Die Dauer liegt zwischen 400 und 600 Sekunden,500,todo
55,A) Welt & Natur,Naturphänomene,Welche Temperatur hat basaltische Lava direkt beim Austritt maximal?,Eisen schmilzt bei ca. 1500 Grad Celsius,Die Temperatur liegt zwischen 1000 und 1300 Grad Celsius,1200,todo
56,A) Welt & Natur,Naturphänomene,Wie viele Tornados werden im langjährigen Mittel pro Jahr in einem Land beobachtet - das für seine Tornado Alley bekannt ist?,Das Land ist die USA; die Zahl ist vierstellig,Die Zahl liegt zwischen 1000 und 1500,1200,todo
57,A) Welt & Natur,Naturphänomene,Um wie viel entfernen sich Nordamerika und Europa pro Jahr voneinander?,Etwa so schnell wie menschliche Fingernägel wachsen,Einheit: Zentimeter; zwischen 1 und 5,2,todo
58,A) Welt & Natur,Naturphänomene,Vor wie vielen Jahren ereignete sich der letzte große Ausbruch des Yellowstone-Vulkans?,Es handelt sich um die Lava Creek Eruption; ein Ereignis in der Erdgeschichte.,Der Ausbruch liegt mehrere hunderttausend Jahre zurück; zwischen 500000 und 700000 Jahren.,640000,todo
59,A) Welt & Natur,Naturphänomene,Wie dick ist die kontinentale Erdkruste im weltweiten Durchschnitt?,Unter Ozeanen ist sie viel dünner; die Antwort ist zweistellig,Die Dicke liegt zwischen 30 und 40 Kilometern,35,todo
60,A) Welt & Natur,Naturphänomene,Wie viele Menschenleben forderte der Ausbruch des Krakatau 1883 offiziell?,Die meisten Opfer starben durch einen Tsunami; die Zahl ist fuenfstellig,Die Zahl liegt zwischen 30.000 und 40.000,36.417,todo
61,A) Welt & Natur,Tiere,Wie viele Herzen hat ein Oktopus?,Oktopusse haben mehr als ein Herz; sie gehören zu den Weichtieren.,Die Anzahl der Herzen liegt zwischen 2 und 4.,3,todo
62,A) Welt & Natur,Tiere,Welches Alter erreichte der älteste untersuchte Grönlandhai laut Radiokarbondatierung?,Der Grönlandhai ist bekannt für seine außergewöhnlich lange Lebensdauer; er schwamm schon zur Zeit der Pilgerväter.,Das Alter liegt im dreistelligen Bereich; zwischen 300 und 500 Jahren.,392,todo
63,A) Welt & Natur,Tiere,Wie lange schläft ein Koala durchschnittlich pro Tag?,Koalas sind bekannt für ihre langen Schlafphasen; Eukalyptus liefert nur wenig Energie,Die Schlafdauer liegt zwischen 15 und 22 Stunden,20,todo
64,A) Welt & Natur,Tiere,Welche Höchstgeschwindigkeit wurde bei einem Wanderfalken im Sturzflug gemessen?,Er ist das schnellste Tier der Welt.,Die Geschwindigkeit liegt zwischen 300 und 400 km/h; Einheit: km/h,389,todo
65,A) Welt & Natur,Tiere,Wie viele Zähne kann ein Weißer Hai in seinem Leben verbrauchen?,Zähne wachsen ständig nach - Revolvergebiss; die Zahl ist fünfstellig,Die Zahl liegt zwischen 20.000 und 40.000,30000,todo
66,A) Welt & Natur,Tiere,Wie schwer war das Herz eines Blauwals - das 2014 präpariert wurde?,Der Blauwal ist das größte Tier der Erdgeschichte; das Herzgewicht ist dreistellig,Das Herz wiegt zwischen 150 und 250 Kilogramm,200,todo
67,A) Welt & Natur,Tiere,Wie viele Ameisen gibt es laut einer Studie von 2022 weltweit auf der Erde?,Die Anzahl ist eine sehr große Zahl; sie ist in Billiarden angegeben,Die Anzahl liegt im zweistelligen Bereich,20,todo
68,A) Welt & Natur,Tiere,Wie lang kann die Zunge einer Giraffe maximal werden?,Die Zunge einer Giraffe ist dunkelblau gefärbt und sehr beweglich,Die Länge liegt zwischen 40 und 60 cm; Einheit: Zentimeter,50,todo
69,A) Welt & Natur,Tiere,Wie viele Flügelschläge pro Sekunde schafft der Rubinkehlkolibri im Normalflug?,Im Balzflug können es noch mehr sein; die Zahl ist zweistellig,Die Anzahl liegt zwischen 40 und 60,50,todo
70,A) Welt & Natur,Tiere,Welchen Anteil der Gene teilen sich Mensch und Banane?,Die Information stammt vom National Human Genome Research Institute; der Wert ist zweistellig,Der Anteil liegt zwischen 40 und 60 Prozent,50,todo
71,A) Welt & Natur,Pflanzen & Garten,Wie viele Jahre alt ist der Baum Methuselah im Jahr 2024?,Der Baum befindet sich in Kalifornien und ist eine der ältesten bekannten Kiefern; er keimte lange vor dem Bau der Pyramiden.,Der Baum ist älter als 4000 Jahre; sein Alter ist vierstellig.,4855,todo
72,A) Welt & Natur,Pflanzen & Garten,Welche maximale Wachstumsrate pro Tag wurde bei Bambus gemessen?,Bambus ist eine der am schnellsten wachsenden Pflanzen der Welt.,Die Wachstumsrate liegt zwischen 50 und 100 cm pro Tag.,91,todo
73,A) Welt & Natur,Pflanzen & Garten,Wie viele Baumarten sind weltweit in einer umfassenden Datenbank registriert?,Brasilien hat die meisten Baumarten; die Zahl ist fuenfstellig,Die Anzahl liegt zwischen 50.000 und 70.000,60.065,todo
74,A) Welt & Natur,Pflanzen & Garten,Wie schwer war der schwerste Kürbis der Welt (Weltrekord 2023)?,Das Gewicht entspricht ungefähr einem Kleinwagen,Das Gewicht liegt zwischen 1000 und 1500 Kilogramm,1226,todo
75,A) Welt & Natur,Pflanzen & Garten,Wie hoch wächst der Blütenstand der Titanenwurz im Rekordfall (Bonn 2003)?,Die Titanenwurz ist auch als Leichenblume bekannt; die Höhe ist dreistellig.,Der Blütenstand erreichte eine Höhe zwischen 250 und 300 cm; Einheit: Zentimeter.,274,todo
76,A) Welt & Natur,Pflanzen & Garten,Welcher Anteil der globalen Landfläche ist laut FAO (2020) mit Wald bedeckt?,Der Anteil liegt im zweistelligen Prozentbereich.,Der Anteil beträgt zwischen 25 und 35 Prozent.,31,todo
77,A) Welt & Natur,Pflanzen & Garten,Wie viel Wasser kann ein ausgewachsener Saguaro-Kaktus nach einem Regen speichern?,Der Saguaro-Kaktus kann bis zu 12 Meter hoch werden; die gespeicherte Menge ist dreistellig.,Die gespeicherte Wassermenge liegt zwischen 1000 und 3000 Litern.,2000,todo
78,A) Welt & Natur,Pflanzen & Garten,Wie hoch ist der Baum Hyperion (Küstenmammutbaum) laut Messung 2019?,Er steht versteckt in Kalifornien; seine Höhe ist dreistellig,Zwischen 100 und 130; Einheit: Meter,116,todo
79,A) Welt & Natur,Pflanzen & Garten,Wie viele Kammern hat ein Apfel im Inneren normalerweise?,Wenn man einen Apfel quer aufschneidet sieht man einen Stern,Die Anzahl liegt zwischen 4 und 6,Fünf,todo
80,A) Welt & Natur,Pflanzen & Garten,Wie viel Sauerstoff produziert eine große Buche (ca. 100 Jahre) pro Jahr?,Das reicht für etwa 10 Menschen pro Jahr,Die Menge liegt zwischen 3000 und 5000 Kilogramm,4000,todo
81,A) Welt & Natur,Erde & Ressourcen,Welche Kantenlänge hätte ein Würfel aus allem jemals geförderten Gold der Welt?,Gold hat eine sehr hohe Dichte; die Kantenlänge ist zweistellig,Die Kantenlänge liegt zwischen 20 und 30 Metern; Einheit: Meter,22,todo
82,A) Welt & Natur,Erde & Ressourcen,Wie lange reichen die globalen Ölreserven beim Verbrauch von 2020?,Die Zahl kann sich durch neue Vorkommen und Technologien ändern; sie ist zweistellig,Die Reichweite liegt zwischen 40 und 60 Jahren,47,todo
83,A) Welt & Natur,Erde & Ressourcen,Wie viel Haushaltsabfall produzierte jeder Einwohner in Deutschland im Jahr 2021?,Bioabfall und Wertstoffe sind inbegriffen; die Zahl ist dreistellig,Die Menge liegt zwischen 400 und 600 Kilogramm,483,todo
84,A) Welt & Natur,Erde & Ressourcen,Wie viel Wasser wird für die Produktion einer einzigen Baumwoll-Jeans benötigt?,Inklusive Bewässerung der Baumwolle; die Zahl ist vierstellig,Zwischen 5000 und 10000 Liter,8000,todo
85,A) Welt & Natur,Erde & Ressourcen,Welcher Anteil des gesamten Wassers auf der Erde ist Süßwasser?,Dazu zählen Gletscher; Grundwasser und Flüsse.,Der Anteil ist einstellig und in Prozent angegeben.,3,todo
86,A) Welt & Natur,Erde & Ressourcen,Wie tief ist die Kola-Bohrung - das tiefste künstliche Loch der Welt?,Die Bohrung wurde in Russland durchgeführt und ist bekannt für ihre extremen Bedingungen.,Die Tiefe liegt im fünfstelligen Bereich; Einheit: Meter,12262,todo
87,A) Welt & Natur,Erde & Ressourcen,Wie viele Smartphones wurden im Jahr 2023 weltweit ausgeliefert?,Der Marktführer war entweder Apple oder Samsung; die Zahl ist vierstellig.,Die Anzahl liegt zwischen 1.000 und 1.300 Millionen.,1.150,todo
88,A) Welt & Natur,Erde & Ressourcen,Wie schwer ist die gesamte Erdatmosphäre?,Der Luftdruck auf Meereshöhe beträgt ca. 1 bar; die Antwort ist in Billionen Tonnen,Die Masse liegt zwischen 3 und 7 Billionen Tonnen,5.,todo
89,A) Welt & Natur,Erde & Ressourcen,Wie viel Plastikmüll gelangt laut IUCN jährlich in die Ozeane?,Ein Großteil des Mülls stammt aus Flüssen; die Menge ist zweistellig,Die Menge liegt zwischen 10 und 20 Millionen Tonnen,14,todo
90,A) Welt & Natur,Erde & Ressourcen,Welcher Anteil der weltweiten Agrarflächen wird für Tierhaltung und Tierfutter verwendet?,Menschliche Ernährung durch Tiere erfordert erheblichen Flächenbedarf,Der Anteil liegt zwischen 50 und 90 Prozent,77,todo
91,A) Welt & Natur,Weltraum & Astronomie,Wie lange benötigt Licht für die Strecke von der Sonne zur Erde?,Lichtgeschwindigkeit beträgt etwa 300.000 Kilometer pro Sekunde,Die Zeit liegt im dreistelligen Bereich; Einheit: Sekunden,499,todo
92,A) Welt & Natur,Weltraum & Astronomie,Wie oft passt das Volumen der Erde in das Volumen der Sonne?,Die Sonne macht 99.8% der Masse des Sonnensystems aus; die Zahl ist sechsstellig,Die Zahl liegt zwischen 1.000.000 und 1.500.000,1.300.000,todo
93,A) Welt & Natur,Weltraum & Astronomie,Wie alt ist das Universum laut Planck-Weltraumteleskop-Daten?,Es begann mit dem Urknall; die Antwort ist in Milliarden Jahren,Zwischen 10 und 20 Milliarden Jahren,13.8,todo
94,A) Welt & Natur,Weltraum & Astronomie,Wie viele Menschen haben bisher die Mondoberfläche betreten?,Alle waren Teil des Apollo-Programms; die Zahl ist zweistellig,Es waren genau 12 Astronauten,12,todo
95,A) Welt & Natur,Weltraum & Astronomie,Wie hoch waren die Kosten eines NASA-Raumanzugs der Apollo-Missionen in heutiger Waehrung?,Die Raumanzuege wurden handgefertigt und waren sehr teuer,Die Kosten liegen im neunstelligen Bereich; Einheit: Dollar,150000000,todo
96,A) Welt & Natur,Weltraum & Astronomie,Wie viel würde eine 100kg schwere Person auf der Mondoberfläche wiegen?,Die Schwerkraft auf dem Mond beträgt etwa ein Sechstel der Erdanziehungskraft.,Das Gewicht auf dem Mond wäre im zweistelligen Bereich; Einheit: Kilogramm.,16.,todo
97,A) Welt & Natur,Weltraum & Astronomie,Wie viele Sterne enthält die Milchstraße laut ESA-Schätzung (Gaia Mission)?,Die Milchstraße ist eine Balkenspiralgalaxie; die Anzahl ist dreistellig.,Die Anzahl der Sterne liegt zwischen 50 und 200 Milliarden.,100,todo
98,A) Welt & Natur,Weltraum & Astronomie,Wie lange dauert eine Umdrehung des Merkur um die eigene Achse?,Ein Merkur-Jahr dauert nur 88 Erdtage.,Die Dauer ist zwischen 50 und 100 Erdtagen.,58.,todo
99,A) Welt & Natur,Weltraum & Astronomie,Wie weit ist der Mond im Durchschnitt von der Erde entfernt in Lichtsekunden?,Die Strecke ist im dreistelligen Bereich.,Die Entfernung beträgt zwischen 1 und 2 Lichtsekunden.,1.28,todo
100,A) Welt & Natur,Weltraum & Astronomie,Wie viele aktive Satelliten befanden sich laut UCS Database im Januar 2024 im Orbit?,Starlink macht einen großen Teil davon aus; die Zahl ist vierstellig,Die Anzahl liegt zwischen 8000 und 9000,8395,todo
101,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange dauerte der Hundertjährige Krieg tatsächlich?,Der Krieg fand im Mittelalter zwischen England und Frankreich statt.,Er dauerte länger als 100 Jahre; zwischen 110 und 120 Jahre.,116,todo
102,B) Mensch & Kultur,Geschichte & Zeitspannen,In welchem Jahr wurde das allererste iPhone von Steve Jobs auf einer bekannten Technologiekonferenz vorgestellt?,Es revolutionierte den Handymarkt; es war in den 2000er Jahren.,Es geschah zwischen 2005 und 2010.,2007,todo
103,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange war Queen Elizabeth II. genau Staatsoberhaupt?,Sie überholte Queen Victoria; Zeitraum in Jahren und Tagen,Zwischen 60 und 80 Jahren,70 Jahre und 214 Tage,todo
104,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele Jahre liegen zwischen der Errichtung der Cheops-Pyramide und der Geburt von Kleopatra?,Beide Ereignisse fanden im alten Ägypten statt; die Zahl ist vierstellig,Die Jahre liegen zwischen 2000 und 3000,2470,todo
105,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange dauerte der Britisch-Sansibarische Krieg?,Er gilt als kürzester Krieg der Geschichte.,Die Dauer wird in Minuten gemessen; sie liegt unter 100.,38,todo
106,B) Mensch & Kultur,Geschichte & Zeitspannen,An welchem Datum fiel die Berliner Mauer?,Es war eine Pressekonferenz von Schabowski vorausgegangen; das Ereignis fand im 20. Jahrhundert statt,Das Datum liegt im November 1989,09.11.1989,todo
107,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele verschiedene Personen hatten bis 2024 das Amt des Präsidenten der USA inne?,Grover Cleveland zählt nur als eine Person; obwohl er zwei Amtszeiten hatte,Die Zahl ist zweistellig; zwischen 40 und 50,46,todo
108,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange lebte der älteste Mensch der Welt (Jeanne Calment) in Tagen?,Sie wurde über 120 Jahre alt,Die Anzahl der Tage liegt zwischen 40.000 und 50.000,44.724,todo
109,B) Mensch & Kultur,Geschichte & Zeitspannen,In welchem Jahr fand die erste Reise von Christoph Kolumbus in die Neue Welt statt?,Es war im 15. Jahrhundert; Kolumbus suchte einen neuen Handelsweg.,Das Jahr liegt zwischen 1480 und 1500.,1492,todo
