id,kategorie,subkategorie,frage,tipp1,tipp2,loesung,status
11,A) Welt & Natur,Flüsse Seen & Meere,Wie lang ist der längste Fluss der Welt laut Guinness Buch?,Der Fluss misst deutlich weniger als ein Viertel des Erdumfangs am Äquator,Die Donau ist etwa 2800 lang; der längste Fluss ist mehr als doppelt so lang,6.650,todo
12,A) Welt & Natur,Flüsse Seen & Meere,Wie viel Prozent der Erdoberfläche sind mit Wasser bedeckt?,Die Oberfläche des Planeten Mars ist ungefähr so groß wie die gesamte Landfläche der Erde,Der Pazifik allein ist flächenmäßig größer als alle Kontinente und Inseln der Erde zusammen,71,todo
13,A) Welt & Natur,Flüsse Seen & Meere,Wie viel Wasser passt in ein olympisches Schwimmbecken bei theoretischer Füllung bis zum Rand?,Ein durchschnittlicher privater Swimmingpool fasst nur grob 50000 bis 100000 Liter,Das NASA Trainingsbecken für Astronauten enthält ungefähr zehnmal so viel Wasser wie ein olympisches Becken,2500000,todo
14,A) Welt & Natur,Flüsse Seen & Meere,Wie tief ist der Bodensee an seiner tiefsten gemessenen Stelle?,Viele große deutsche Seen bleiben klar unter 80 Metern Tiefe; der Bodensee ist tiefer.,Der Starnberger See gilt als sehr tief mit etwa 128 Metern; der Bodensee übertrifft ihn.,251,todo
15,A) Welt & Natur,Flüsse Seen & Meere,Wie viele Brücken verbinden die Inseln im historischen Zentrum von Venedig?,Das historische Zentrum umfasst etwa 120 Inseln und rund 150 Kanäle,Die vielen kleinen Inseln sind meist über zwei bis fünf Brücken mit Nachbarinseln verbunden,400,todo
16,A) Welt & Natur,Flüsse Seen & Meere,Wie lange dauert es theoretisch für ein Wassermolekül - eine komplette Runde im globalen Förderband zu absolvieren?,In der Atmosphäre bleibt Wasser nur etwa zehn Tage; im antarktischen Eis viele Jahrtausende,Im Weltozean beträgt die durchschnittliche Verweilzeit eines Wassermoleküls etwa dreitausend Jahre,1000,todo
17,A) Welt & Natur,Flüsse Seen & Meere,Wie viele Inseln hat Schweden offiziell?,Schweden führt die Weltrangliste an – mehr Inseln als Indonesien oder Japan,Kanada hat etwa 52.000 Inseln; Schweden liegt bei der Inselzahl deutlich darüber,267.570,todo
18,A) Welt & Natur,Flüsse Seen & Meere,Wie hoch ist der durchschnittliche Salzgehalt der Ozeane?,Typische Flüsse haben weniger als ein Gramm Salz pro Liter; Meerwasser deutlich mehr,Das Tote Meer ist mehr als achtmal so salzig wie durchschnittliches Ozeanwasser,35,todo
19,A) Welt & Natur,Flüsse Seen & Meere,Wie oft passt die Länge eines bekannten europäischen Flusses in die eines bekannten südamerikanischen Flusses (auf eine Nachkommastelle)?,Der südamerikanische Fluss ist länger als Donau 2850 km; kürzer als Amazonas 6400 km.,Der europäische Fluss entspringt im Riesengebirge; fließt durch Dresden und Hamburg in die Nordsee.,4.4,todo
20,A) Welt & Natur,Flüsse Seen & Meere,Wie viele von der UNESCO erfasste Schiffswracks liegen schätzungsweise am Meeresgrund?,Seeverkehr ist seit Jahrtausenden extrem dicht; jede Epoche hinterlässt ihre eigene Wrackwelle,In den Großen Seen sind über 6000 Wracks bekannt; das Meer umfasst weit mehr,3 Millionen,todo
21,A) Welt & Natur,Länder & Landschaften,Wie viele Staaten sind aktuell Mitglied der Vereinten Nationen?,1945 startete die UNO mit 51 Mitgliedern; durch Entkolonisierung hat sich die Zahl vervielfacht,Die Afrikanische Union hat 55 Staaten; die UN umfasst deutlich mehr aus allen Kontinenten,193,todo
22,A) Welt & Natur,Länder & Landschaften,Wie oft passt die Fläche Deutschlands in die Fläche eines anderen Landes?,Russland macht grob ein Zehntel der weltweiten Landfläche aus – riesig im Vergleich,Flächenmäßig ist Russland beinahe so groß wie ganz Südamerika – deutlich größer als Europa,48,todo
23,A) Welt & Natur,Länder & Landschaften,Über wie viele Zeitzonen erstreckt sich das Staatsgebiet eines großen europäischen Landes mit Überseegebieten?,Die Erde ist in etwa 24 Zeitzonen eingeteilt; dieses Land nutzt einen merklichen Anteil,Kanada nutzt sechs Zeitzonen; das gesuchte Land liegt deutlich darüber durch Überseegebiete,12,todo
24,A) Welt & Natur,Länder & Landschaften,Wie viele Menschen lebten 2023 laut offizieller Schätzung in der Vatikanstadt?,Der Vatikan ist flächenmäßig eher ein kleines Stadtviertel als eine richtige Stadt,Andere europäische Zwergstaaten haben zehntausende Einwohner; der Vatikan deutlich weniger,800,todo
25,A) Welt & Natur,Länder & Landschaften,Wie viele direkte Nachbarländer hat die Volksrepublik China?,China teilt sich weltweit den Rekord für die meisten direkten Nachbarn mit Russland,Deutschland hat 9 Nachbarländer; Brasilien 10; China liegt deutlich darüber,14,todo
26,A) Welt & Natur,Länder & Landschaften,Welcher Anteil der Weltbevölkerung lebte 2023 auf dem asiatischen Kontinent?,In Asien leben mehr Menschen als auf allen anderen Kontinenten zusammen,Afrika ist der zweitbevölkerungsreichste Kontinent; sein Anteil beträgt nur etwa 18 Prozent,59,todo
27,A) Welt & Natur,Länder & Landschaften,Wie viele antike Pyramiden wurden im Sudan bisher entdeckt?,Im Sudan stehen mehr Pyramiden als im berühmten Nachbarland Ägypten,In Ägypten sind etwa 140 Pyramiden bekannt; Sudan übertrifft diese Zahl deutlich,255,todo
28,A) Welt & Natur,Länder & Landschaften,Wie lang ist die gemeinsame Grenze zwischen den USA und Kanada?,Die US–Mexiko-Grenze ist rund 3100 km lang; die US–Kanada-Grenze ist deutlich länger.,Die Grenze China–Mongolei misst etwa 4600 km; die US–Kanada-Grenze übertrifft sie klar.,8891,todo
29,A) Welt & Natur,Länder & Landschaften,Wie viele Seen gibt es in Kanada - die laut Regierungsangaben eine bestimmte Mindestgröße überschreiten?,Kanada hat weltweit die meisten Seen – insgesamt fast 880000 Wasserflächen unterschiedlichster Größe,Nur 561 Seen in Kanada sind größer als 100 Quadratkilometer; die meisten sind viel kleiner,31.752,todo
30,A) Welt & Natur,Länder & Landschaften,Wie oft passt die Fläche eines kleineren deutschen Bundeslandes in die Fläche des größten deutschen Bundeslandes?,Bayern nimmt ungefähr ein Fünftel der Gesamtfläche Deutschlands ein; weit vor allen anderen Ländern.,Das kleinere Vergleichsbundesland ist das Saarland; seine Fläche ähnelt stark der von Luxemburg.,27,todo
31,A) Welt & Natur,Städte & Lage & Distanzen,Wie weit ist die Großkreis-Entfernung (Luftlinie) zwischen Berlin und New York?,Von New York nach Los Angeles sind 4000 Kilometer; Berlin New York ist weiter,Die Luftlinie Berlin Tokio liegt bei fast 9000 Kilometern; Berlin New York ist deutlich kürzer,6391,todo
32,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Haltestellen hat das derzeitige U-Bahn-Netz von New York City?,Allein in Manhattan liegen 151 Subwaystationen; die restlichen Boroughs kommen noch dazu,London Underground hat 272 Stationen; Paris Métro 321; New York liegt darüber,472,todo
33,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Einwohner zählt die Metropolregion Tokio laut Zensus 2020?,Im Großraum Tokio lebt rund ein Drittel der gesamten Bevölkerung Japans.,Die Metropolregion New York hat rund 23.6 Millionen Einwohner; Tokio liegt deutlich darüber.,37,todo
34,A) Welt & Natur,Städte & Lage & Distanzen,Wie lang ist die Chinesische Mauer inklusive aller Verzweigungen laut chinesischer Messung 2012?,Die Große Mauer verteilt sich über 15 Provinzen und mehr als 40 000 Fundstellen,Die Ming Mauer wurde früher allein auf rund 8 850 km Länge geschätzt,21196,todo
35,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Brücken gibt es in der Stadt Hamburg?,Hamburg hat mehr Brücken als Amsterdam und Venedig zusammen,Amsterdam hat über 1200 Brücken; Hamburg besitzt deutlich mehr,2500,todo
36,A) Welt & Natur,Städte & Lage & Distanzen,Wie groß ist der Umfang der Erde am Äquator?,Die Entfernung Erde Mond beträgt etwa 384 000 km – viele Erdumfänge passen hinein,Die Chinesische Mauer ist insgesamt rund 21 000 km – unter einer Erdumrundung,40075,todo
37,A) Welt & Natur,Städte & Lage & Distanzen,Wie weit ist die Strecke auf der Straße vom Nordkapp in Norwegen bis nach Kapstadt in Südafrika?,Die Panamericana von Alaska bis Feuerland ist fast 30.000 Kilometer lang,Von Oslo nach Kapstadt fährt man auf der Straße etwa 14.400 Kilometer,21.000,todo
38,A) Welt & Natur,Städte & Lage & Distanzen,Wie weit ist die Luftlinie zwischen dem nördlichsten und südlichsten Punkt Deutschlands?,Italien erstreckt sich Nord Süd fast 1200 Kilometer; Deutschland ist spürbar kürzer.,Hamburg München Luftlinie 612 Kilometer; Deutschlands Nord Süd Ausdehnung ist deutlich größer.,876,todo
39,A) Welt & Natur,Städte & Lage & Distanzen,Auf welcher Höhe liegt der Bahnhofsvorplatz von Davos?,Zürich Hauptbahnhof liegt auf etwa 400 Metern über Meer; Davos ist deutlich höher,Der nahe Flüelapass erreicht rund 2380 Meter Höhe; Davos liegt deutlich darunter im Tal,1560,todo
40,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Pubs gab es 2019 in Greater London laut ONS-Statistik?,2019 lebten in Greater London ungefähr so viele Menschen wie in ganz Österreich,Im ganzen Vereinigten Königreich gab es 2019 rund 47 Tausend Pubs laut Branchenverband,3.640,todo
41,A) Welt & Natur,Wetter & Klima-Rekorde,Welches ist die höchste offiziell anerkannte Temperatur - die je auf Erden gemessen wurde?,Der Rekord stammt aus Death Valley in Kalifornien einem extrem heißen tief liegenden Wüstenbecken,Wasser kocht bei 100 Grad; selbst die heißesten Tage in Europa bleiben deutlich darunter,56.7,todo
42,A) Welt & Natur,Wetter & Klima-Rekorde,Welches ist die tiefste direkt gemessene Temperatur auf Erden?,In Haushaltsgefrierschränken sind es etwa -18 Grad; der Rekordwert ist deutlich kälter.,Flüssiger Stickstoff hat rund -196 Grad; die Rekordtemperatur auf Erden ist merklich wärmer.,-89.2,todo
43,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Blitze werden weltweit durchschnittlich pro Sekunde registriert?,Rund um den Globus toben gleichzeitig fast 1800 Gewitter – es blitzt ständig irgendwo,Satelliten registrieren weltweit jährlich über zwei Milliarden Blitze – geteilt durch Sekunden ergibt deine Schätzung,44,todo
44,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viel Regen fiel beim Weltrekord innerhalb von nur einer Minute?,Schon ab 10 Millimetern pro Stunde heißt Regen Starkregen; hier geht es um eine Minute,Beim Stunden-Weltrekord fielen in Missouri über 300 Millimeter Regen in nur 42 Minuten,31.8,todo
45,A) Welt & Natur,Wetter & Klima-Rekorde,Wie schwer war das schwerste offiziell gewogene Hagelkorn?,Der Gewichtsrekord stammt aus Bangladesch 1986 – der Hagelsturm tötete damals 92 Menschen,Rekordhagel deutlich schwerer als Golfball mit 45 Gramm; deutlich leichter als Bowlingkugel mit mehreren Kilogramm,1.02,todo
46,A) Welt & Natur,Wetter & Klima-Rekorde,Welche Windgeschwindigkeit erreichte der stärkste Tornado in der Doppler-Radar-Messung?,Ein EF5-Tornado beginnt bei etwa 322 km/h; der Rekord lag deutlich darüber,Ein Formel-1-Wagen schafft rund 350 km/h; der Rekordtornado war wesentlich schneller,486,todo
47,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Gewitter gibt es weltweit zu jedem beliebigen Zeitpunkt?,Über ein Jahr betrachtet entstehen weltweit grob sechzehn Millionen Gewitter.,An einem typischen Tag entstehen weltweit zehntausende Gewitter; viele davon nacheinander statt gleichzeitig.,2.000,todo
48,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viel Wasser verdunstet eine ausgewachsene Eiche an einem heißen Sommertag?,Ein Mensch trinkt täglich etwa 2 Liter; eine große Eiche verdunstet ein Vielfaches,Eine große Eiche kann im Jahr um 150000 Liter Wasser verdunsten,400,todo
49,A) Welt & Natur,Wetter & Klima-Rekorde,Wie hoch war die mittlere Jahrestemperatur in Deutschland im Rekordjahr 2023?,Gegenüber dem Klimamittel 1961–1990 lag 2023 in Deutschland rund 2.4 Grad höher,In 1961–1990 betrug Deutschlands Jahresmitteltemperatur gut 8 Grad; 2023 lag deutlich darüber,11.5,todo
50,A) Welt & Natur,Wetter & Klima-Rekorde,Wie hoch ist die geschätzte Anzahl aller Schneeflocken - die pro Jahr weltweit fallen?,Auf allen Stränden der Erde zusammen gibt es grob rund sieben Trillionen Sandkörner,Schätzungen zufolge fallen weltweit pro Sekunde ungefähr eine Million Milliarden Schneeflocken,24,todo
51,A) Welt & Natur,Naturphänomene,Wie viele Vulkane werden von der Smithsonian Institution als aktiv eingestuft?,Die fünf vulkanreichsten Länder bringen es zusammen schon auf über 600 Holozän‑Vulkane,Im pazifischen Feuerring liegen 693 Holozän‑Vulkane; das sind 56 Prozent der Weltgesamtzahl,1357,todo
52,A) Welt & Natur,Naturphänomene,Wie viele Erdbeben der Stärke 6.0 oder höher ereignen sich im langjährigen Mittel jährlich?,Weltweit gibt es jährlich viele Tausend Erdbeben ab Magnitude 4.0,Sehr starke Beben ab Magnitude 8.0 treten im Schnitt nur etwa einmal pro Jahr auf,100,todo
53,A) Welt & Natur,Naturphänomene,Wie hoch war der höchste dokumentierte Tsunami durch einen Erdrutsch?,Typische Tsunamiwellen erreichen an Küsten selten über 30 Meter; hier war es ein Megatsunami,Die Flut lief einen Hang hinauf; höher als das Empire-State-Building in New York,524,todo
54,A) Welt & Natur,Naturphänomene,Wie lange dauerte die längste Bruchphase beim Sumatra-Andaman-Beben 2004?,Viele starke Erdbeben sind nach höchstens 30 bis 40 Sekunden seismischer Bruchphase vorbei,Das Tohoku Megabeben 2011 hatte eine Bruchdauer von etwa 160 Sekunden deutlich kürzer,500,todo
55,A) Welt & Natur,Naturphänomene,Welche Temperatur hat basaltische Lava direkt beim Austritt maximal?,Ein Pizzaofen schafft rund 500 Grad - Basaltlava ist ein Mehrfaches heißer,Rhyolithische Lava eruptiert oft nur bei etwa 700 Grad - Basaltlava deutlich heißer,1200,todo
56,A) Welt & Natur,Naturphänomene,Wie viele Tornados werden im langjährigen Mittel pro Jahr in einem Land beobachtet - das für seine Tornado Alley bekannt ist?,Kanada ist weltweit Nummer zwei mit im Schnitt etwa 100 Tornados pro Jahr,Ein einzelner US-Bundesstaat Texas erlebt im Mittel rund 135 Tornados pro Jahr,1200,todo
57,A) Welt & Natur,Naturphänomene,Um wie viel entfernen sich Nordamerika und Europa pro Jahr voneinander?,Deine Kopfhaare legen pro Jahr rund 15 Zentimeter zurück; Kontinente sind viel langsamer,An der schnellsten Spreizungszone im Pazifik driften Platten mit über 15 Zentimetern pro Jahr auseinander,2,todo
58,A) Welt & Natur,Naturphänomene,Vor wie vielen Jahren ereignete sich der letzte große Ausbruch des Yellowstone-Vulkans?,Yellowstone hatte drei Rieseneruptionen; zwei ältere vor etwa 2.1 und 1.3 Millionen Jahren,Jüngste Lavaeruption in Yellowstone war vor etwa 70000 Jahren; der letzte Superausbruch deutlich älter,640000,todo
59,A) Welt & Natur,Naturphänomene,Wie dick ist die kontinentale Erdkruste im weltweiten Durchschnitt?,Ozeanische Erdkruste ist nur etwa 6–7 km dick; kontinentale Kruste deutlich dicker.,Unter Hochgebirgen wie dem Himalaya kann kontinentale Kruste über 70 km dick werden.,35,todo
60,A) Welt & Natur,Naturphänomene,Wie viele Menschenleben forderte der Ausbruch des Krakatau 1883 offiziell?,Krakatau gilt nach Tambora als zweittödlichster Vulkanausbruch seit 1500; Hauptursache waren Tsunamis.,Tambora tötete über 70.000 Menschen; Nevado del Ruiz etwa 23.000; Krakatau liegt dazwischen.,36.417,todo
61,A) Welt & Natur,Tiere,Wie viele Herzen hat ein Oktopus?,Wir Menschen haben ein Herz – ein Oktopus besitzt deutlich mehr als wir,Ein Regenwurm hat fünf Herzpaare – der Oktopus liegt weit darunter aber über uns,3,todo
62,A) Welt & Natur,Tiere,Welches Alter erreichte der älteste untersuchte Grönlandhai laut Radiokarbondatierung?,Langlebigste Säugetiere wie Grönlandwale schaffen über 200 Jahre; der Grönlandhai lebt deutlich länger,Ein Grönlandhai wächst nur rund 1 Zentimeter pro Jahr und wird über 5 Meter lang,392,todo
63,A) Welt & Natur,Tiere,Wie lange schläft ein Koala durchschnittlich pro Tag?,Erwachsene Menschen schlafen etwa 8 Stunden; Koalas ruhen deutlich mehr,Sogar Faultiere schlafen in freier Wildbahn rund 10 Stunden täglich; Koalas noch länger,20,todo
64,A) Welt & Natur,Tiere,Welche Höchstgeschwindigkeit wurde bei einem Wanderfalken im Sturzflug gemessen?,Gepard rund 100 km/h; Fallschirmspringer rund 200 km/h; der Wanderfalke ist schneller,Adler erreichen im Sturzflug etwa 240 km/h; der Wanderfalke bleibt deutlich unter Passagierjets,389,todo
65,A) Welt & Natur,Tiere,Wie viele Zähne kann ein Weißer Hai in seinem Leben verbrauchen?,Ein Weißer Hai hat etwa 50 bis 60 Zähne gleichzeitig im Maul; mehrere Reihen dahinter,Manche Haie verbrauchen über 50000 Zähne im Leben; der Weiße Hai liegt darunter im Zehntausenderbereich,30000,todo
66,A) Welt & Natur,Tiere,Wie schwer war das Herz eines Blauwals - das 2014 präpariert wurde?,Ein menschliches Herz wiegt rund 300 Gramm; ein Elefantenherz nur etwa 12 bis 21 Kilogramm,Der Wal zu diesem Herz wog etwa 90 Tonnen; das Herz etwa ein halbes Prozent,200,todo
67,A) Welt & Natur,Tiere,Wie viele Ameisen gibt es laut einer Studie von 2022 weltweit auf der Erde?,Alle Ameisen zusammen haben ungefähr ein Fünftel der Gesamtmasse aller Menschen,Auf jeden Menschen kommen grob ein paar Millionen Ameisen weltweit,20,todo
68,A) Welt & Natur,Tiere,Wie lang kann die Zunge einer Giraffe maximal werden?,Eine menschliche Zunge misst meist nur um die zehn Zentimeter; Giraffenzungen sind weit länger.,Chamäleons erreichen mit ihrer Zunge über einen Meter Länge; Giraffen bleiben deutlich darunter.,50,todo
69,A) Welt & Natur,Tiere,Wie viele Flügelschläge pro Sekunde schafft der Rubinkehlkolibri im Normalflug?,Typische Singvögel schlagen ihre Flügel nur etwa 10 bis 20 Mal pro Sekunde,In Balzflügen schafft der Rubinkehlkolibri rund 200 Flügelschläge pro Sekunde – Normalflug deutlich darunter,50,todo
70,A) Welt & Natur,Tiere,Welchen Anteil der Gene teilen sich Mensch und Banane?,Mit Schimpansen ist der Mensch genetisch sehr eng verwandt – viel stärker als mit Pflanzen,Mit Bakterien teilt der Mensch nur einen klar kleineren Genanteil als mit Bananen,50,todo
71,A) Welt & Natur,Pflanzen & Garten,Wie viele Jahre alt ist der Baum Methuselah im Jahr 2024?,Der älteste menschengepflanzte Baum ist über 2300 Jahre alt; Methuselah ist noch älter.,Vergleich: General Sherman etwa 2200 Jahre; Klonbaum Old Tjikko rund 9550; Methuselah dazwischen.,4855,todo
72,A) Welt & Natur,Pflanzen & Garten,Welche maximale Wachstumsrate pro Tag wurde bei Bambus gemessen?,Viele Waldbäume wachsen nur einige Dutzend Zentimeter pro Jahr in die Höhe,Schnellwachsende Bäume schaffen teils rund drei Meter pro Jahr – Bambus an einem Tag,91,todo
73,A) Welt & Natur,Pflanzen & Garten,Wie viele Baumarten sind weltweit in einer umfassenden Datenbank registriert?,Mehr als die Hälfte aller Baumarten gibt es nur in genau einem Land,Brasilien beherbergt 8715 Baumarten; Kolumbien 5776; Indonesien 5142 – Rekordländer,60.065,todo
74,A) Welt & Natur,Pflanzen & Garten,Wie schwer war der schwerste Kürbis der Welt (Weltrekord 2023)?,Ein normaler Halloween-Kürbis wiegt wenige Kilo; der Rekordkürbis war über hundertmal schwerer.,So schwer wie zwei Kühe oder ein Kleinwagen – ungefähr Auto-Gewichtsklasse.,1226,todo
75,A) Welt & Natur,Pflanzen & Garten,Wie hoch wächst der Blütenstand der Titanenwurz im Rekordfall (Bonn 2003)?,Die ganze Titanenwurz kann bis zu sechs Meter hoch werden; der Blütenstand bleibt deutlich darunter,Die Talipotpalme bildet Blütenstände bis etwa acht Meter; der Titanenwurz Rekord bleibt deutlich darunter,274,todo
76,A) Welt & Natur,Pflanzen & Garten,Welcher Anteil der globalen Landfläche ist laut FAO (2020) mit Wald bedeckt?,Ungefähr die Hälfte der bewohnbaren Landfläche ist Landwirtschaft; Wälder bedecken deutlich mehr Fläche als Städte,Die Waldfläche entspricht rund 4 Milliarden Hektar – im Schnitt 5000 Quadratmeter pro Mensch,31,todo
77,A) Welt & Natur,Pflanzen & Garten,Wie viel Wasser kann ein ausgewachsener Saguaro-Kaktus nach einem Regen speichern?,Bei einem vollgesogenen Saguaro sind rund neunzig Prozent der Masse Wasser,Badewanne etwa 150 Liter; Garten Pool zehntausende Liter; Saguaro liegt dazwischen,2000,todo
78,A) Welt & Natur,Pflanzen & Garten,Wie hoch ist der Baum Hyperion (Küstenmammutbaum) laut Messung 2019?,Viele Küstenmammutbäume werden über 60m hoch; Hyperion sticht selbst unter diesen Giganten heraus,Der berühmte General-Sherman-Baum ist rund 84m hoch; Hyperion ist deutlich höher,116,todo
79,A) Welt & Natur,Pflanzen & Garten,Wie viele Kammern hat ein Apfel im Inneren normalerweise?,Steinobst wie Kirschen hat nur eine Samenhöhle Äpfel haben merklich mehr davon,Quer aufgeschnitten zeigt das Apfelkerngehäuse eine kleine sternartige Figur im Fruchtzentrum,Fünf,todo
80,A) Welt & Natur,Pflanzen & Garten,Wie viel Sauerstoff produziert eine große Buche (ca. 100 Jahre) pro Jahr?,Ein Mensch verbraucht im Jahr nur ein paar hundert Kilogramm Sauerstoff,Die Jahresproduktion einer großen Buche deckt den Sauerstoffbedarf von deutlich über zehn Menschen,4000,todo
81,A) Welt & Natur,Erde & Ressourcen,Welche Kantenlänge hätte ein Würfel aus allem jemals geförderten Gold der Welt?,Schätzungen: Insgesamt wurden bisher über 200000 Tonnen Gold aus der Erde geholt,Ein olympisches Schwimmbecken fasst etwa 2500 Kubikmeter; alles Gold füllt nur wenige Becken,22,todo
82,A) Welt & Natur,Erde & Ressourcen,Wie lange reichen die globalen Ölreserven beim Verbrauch von 2020?,Um 2020 entsprach die bislang geförderte Ölmenge grob den noch vorhandenen Reserven,2020 reichten Ölreserven in Europa nur rund 10 Jahre im Mittleren Osten über 80,47,todo
83,A) Welt & Natur,Erde & Ressourcen,Wie viel Haushaltsabfall produzierte jeder Einwohner in Deutschland im Jahr 2021?,In Europa haben sparsame Länder etwa 300 kg Haushaltsabfall je Person; Spitzenreiter über 800 kg,Auf den Tag gerechnet entsteht pro Kopf in Deutschland deutlich über ein Kilogramm Haushaltsabfall,483,todo
84,A) Welt & Natur,Erde & Ressourcen,Wie viel Wasser wird für die Produktion einer einzigen Baumwoll-Jeans benötigt?,Ein Baumwoll T Shirt braucht grob 2500 Liter Wasser; Jeans liegen deutlich darüber,Ein Kilo Rindfleisch verschlingt etwa 15000 Liter Wasser; eine Jeans liegt deutlich darunter,8000,todo
85,A) Welt & Natur,Erde & Ressourcen,Welcher Anteil des gesamten Wassers auf der Erde ist Süßwasser?,Etwa 71 Prozent der Erdoberfläche sind von Wasser bedeckt; der Großteil davon sind Ozeane,Über 96 Prozent allen Wassers stecken als Salzwasser in den Ozeanen; Süßwasser ist der Rest,3,todo
86,A) Welt & Natur,Erde & Ressourcen,Wie tief ist die Kola-Bohrung - das tiefste künstliche Loch der Welt?,Moderne Ölbohrungen schaffen meist nur etwa die Hälfte dieser Tiefe,Die tiefsten Goldminen gehen gut 4 km hinab – deutlich weniger als die Kola-Bohrung,12262,todo
87,A) Welt & Natur,Erde & Ressourcen,Wie viele Smartphones wurden im Jahr 2023 weltweit ausgeliefert?,2023 wurden 242 Millionen PCs und 129 Millionen Tablets ausgeliefert – Smartphones deutlich mehr.,Rund um 2016 und 2017 wurden weltweit etwa 1470 Millionen Smartphones pro Jahr ausgeliefert.,1.150,todo
88,A) Welt & Natur,Erde & Ressourcen,Wie schwer ist die gesamte Erdatmosphäre?,Die Atmosphäre macht insgesamt nur ungefähr einen Millionstel der gesamten Erdmasse aus,Auf jedem Quadratzentimeter deiner Haut lastet etwa 1 Kilogramm Luftgewicht von oben,5.,todo
89,A) Welt & Natur,Erde & Ressourcen,Wie viel Plastikmüll gelangt laut IUCN jährlich in die Ozeane?,Weltweit entstehen jährlich etwa 400 Millionen Tonnen Plastik; nur ein Teil gelangt ins Meer.,In allen Ozeanen schwimmen insgesamt grob 75 bis 199 Millionen Tonnen Plastik.,14,todo
90,A) Welt & Natur,Erde & Ressourcen,Welcher Anteil der weltweiten Agrarflächen wird für Tierhaltung und Tierfutter verwendet?,Nur kleiner Teil der Ackerflächen produziert Essen für Menschen – vieles wird an Tiere verfüttert.,Tierische Produkte liefern nur etwa 18 Prozent der Kalorien – brauchen dafür enorm viel Fläche.,77,todo
