id,kategorie,subkategorie,frage,tipp1,tipp2,loesung,status
29,A) Welt & Natur,Länder & Landschaften,Wie viele Seen gibt es in Kanada - die größer als 3 Quadratkilometer sind?,Kanada hat weltweit die meisten Seen (über 800.000 Wasserflächen).,Nur 561 Seen in Kanada sind größer als 100 Quadratkilometer.,31752,todo
30,A) Welt & Natur,Länder & Landschaften,Wie oft passt die Fläche des Saarlands in die Fläche von Bayern?,Bayern ist mit ca. 70.500 km² das größte deutsche Bundesland.,Die Mittelmeerinsel Zypern ist ca. 3.5-mal so groß wie das Saarland.,27,todo
31,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Kilometer beträgt die Luftlinie zwischen Berlin und New York?,Von New York nach Los Angeles sind es ca. 4.000 Kilometer.,Die Luftlinie zwischen Berlin und Tokio beträgt ca. 8.900 Kilometer.,6391,todo
32,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Haltestellen hat das U-Bahn-Netz von New York City?,Die London Underground hat insgesamt 272 Stationen.,Die Pariser Métro hat insgesamt 320 Stationen.,472,todo
33,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Menschen leben in der Metropolregion Tokio?,In der Metropolregion New York leben ca. 23.6 Millionen Menschen.,In ganz Japan leben ca. 125 Millionen Menschen.,37 Millionen,todo
34,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Kilometer ist die Chinesische Mauer (inkl. aller Teile) lang?,Der Umfang des Mondes beträgt ca. 10.900 Kilometer.,Würde man alle Steine nebeneinander legen; könnte man den Äquator ca. 5-mal umrunden.,21196,todo
35,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Brücken gibt es in der Stadt Hamburg?,Die Stadt Venedig hat insgesamt etwa 400 Brücken.,Die Stadt Amsterdam hat insgesamt etwa 1.200 Brücken.,2500,todo
36,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Kilometer beträgt der Erdumfang am Äquator?,Die Entfernung von Pol zu Pol beträgt ca. 20.000 Kilometer.,Die Chinesische Mauer ist insgesamt ca. 21.200 Kilometer lang.,40075,todo
37,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Kilometer sind es auf der Straße vom Nordkapp bis nach Kapstadt?,Die gesamte afrikanische Küstenlinie ist ca. 30.500 Kilometer lang.,Von Berlin nach Kapstadt sind es ca. 13.500 Kilometer Fahrtweg.,21000,todo
38,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Kilometer beträgt die Luftlinie zwischen Nord- und Südspitze Deutschlands?,Die Luftlinie zwischen Hamburg und München beträgt ca. 612 Kilometer.,Italien ist von Norden nach Süden ca. 1.200 Kilometer lang.,876,todo
39,A) Welt & Natur,Städte & Lage & Distanzen,Auf welcher Höhe (Meter) liegt der Bahnhof von Davos?,Garmisch-Partenkirchen liegt auf ca. 700 Metern Höhe.,Die Zugspitze ist 2.962 Meter hoch.,1560,todo
40,A) Welt & Natur,Städte & Lage & Distanzen,Wie viele Pubs gab es im Jahr 2019 in Greater London?,Im gesamten Vereinigten Königreich gibt es ca. 47.000 Pubs.,In der Stadt Berlin gibt es insgesamt ca. 900 Kneipen und Bars.,3640,todo
41,A) Welt & Natur,Wetter & Klima-Rekorde,Wie hoch war die höchste je auf Erden gemessene Lufttemperatur (in °C)?,In der Sahara werden oft über 50 °C im Schatten erreicht.,Wasser siedet (kocht) bei 100 °C.,56.7,todo
42,A) Welt & Natur,Wetter & Klima-Rekorde,Wie hoch war die tiefste je auf Erden gemessene Lufttemperatur (in °C)?,-18 °C ist die Standardtemperatur in Gefrierschränken.,Trockeneis hat eine Temperatur von ca. -78 °C.,-89.2,todo
43,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Blitze schlagen weltweit pro Sekunde durchschnittlich ein?,In einer Minute schlagen weltweit ca. 2.600 Blitze ein.,Ein typisches Gewitter produziert etwa einen Blitz pro Sekunde.,44,todo
44,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Millimeter Regen fielen beim Weltrekord innerhalb einer Minute?,Ab 10 mm pro Stunde spricht man bereits von starkem Regen.,Die durchschnittliche Regenmenge in Berlin beträgt ca. 50 mm pro Monat.,31.2,todo
45,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Kilogramm wog das schwerste offiziell gemessene Hagelkorn?,Ein normaler Fußball wiegt etwa 0.45 Kilogramm.,Eine typische Bowlingkugel wiegt zwischen 3 und 7 Kilogramm.,1.02,todo
46,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele km/h erreichte der schnellste Tornado-Wind (Doppler-Radar)?,Ein Formel-1-Wagen erreicht eine Höchstgeschwindigkeit von ca. 370 km/h.,Die Schallgeschwindigkeit liegt bei ca. 1.235 km/h.,484,todo
47,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Gewitter toben weltweit durchschnittlich zu jedem Zeitpunkt?,In Deutschland gibt es ca. 20 bis 30 Gewittertage pro Jahr.,Über das gesamte Jahr verteilt entstehen weltweit ca. 16 Millionen Gewitter.,2.000,todo
48,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Liter Wasser verdunstet eine große Eiche an einem Sommertag?,Ein ausgewachsener Mensch besteht aus ca. 40 Litern Wasser.,Eine normale Badewanne fasst ca. 150 Liter Wasser.,400,todo
49,A) Welt & Natur,Wetter & Klima-Rekorde,Wie hoch war die mittlere Jahrestemperatur in Deutschland im Rekordjahr 2023?,Das langjährige Mittel (1961-1990) lag in Deutschland bei 8.2 °C.,In Spanien liegt die mittlere Jahrestemperatur bei ca. 15 °C.,10.6,todo
50,A) Welt & Natur,Wetter & Klima-Rekorde,Wie viele Schneeflocken fallen jährlich weltweit?,In einer Septillion steht eine 1 gefolgt von 24 Nullen.,Die Anzahl der Sandkörner auf der Erde wird auf ca. 7 Trillionen geschätzt.,24 Septillionen,todo
51,A) Welt & Natur,Naturphänomene,Wie viele Vulkane stuft die Smithsonian Institution aktuell als aktiv ein?,In einem typischen Jahr brechen weltweit ca. 50 bis 70 Vulkane aus.,Im pazifischen Feuerring befinden sich fast 700 dieser Vulkane.,1357,todo
52,A) Welt & Natur,Naturphänomene,Wie viele Erdbeben der Stärke 6.0 oder höher ereignen sich weltweit pro Jahr?,Starke Erdbeben ab Magnitude 8.0 treten im Schnitt nur ca. 1-mal pro Jahr auf.,Weltweit gibt es jährlich über 1.000 Erdbeben der Stärke 5.0 oder höher.,134,todo
53,A) Welt & Natur,Naturphänomene,Wie viele Meter hoch war der höchste dokumentierte Tsunami (Lituya Bay 1958)?,Normale Tsunamiwellen an der Küste erreichen selten über 30 Meter Höhe.,Das Empire State Building ist (ohne Antenne) ca. 381 Meter hoch.,524,todo
54,A) Welt & Natur,Naturphänomene,Wie viele Sekunden dauerte die längste Bruchphase beim Sumatra-Beben 2004?,Das verheerende Tohoku-Beben (Japan 2011) hatte eine Dauer von ca. 160 Sekunden.,Normale starke Beben haben oft nur eine Bruchdauer von 30 bis 40 Sekunden.,500,todo
55,A) Welt & Natur,Naturphänomene,Welche maximale Temperatur (in °C) erreicht basaltische Lava beim Austritt?,Ein Pizzaofen erreicht ca. 500 °C.,Eisen schmilzt bei ca. 1.500 °C.,1200,todo
56,A) Welt & Natur,Naturphänomene,Wie viele Tornados werden im Durchschnitt jährlich in den USA registriert?,In Kanada (Platz 2 weltweit) sind es nur ca. 100 Tornados pro Jahr.,In Deutschland werden ca. 20 bis 60 Tornados pro Jahr gezählt.,1200,todo
57,A) Welt & Natur,Naturphänomene,Um wie viele Zentimeter entfernen sich Nordamerika und Europa pro Jahr?,Das Wachstum von menschlichem Kopfhaar beträgt ca. 15 cm pro Jahr.,Die schnellsten tektonischen Platten bewegen sich ca. 15 cm pro Jahr.,2.5,todo
58,A) Welt & Natur,Naturphänomene,Vor wie vielen Jahren (in Tausend) ereignete sich der letzte Yellowstone-Superausbruch?,Der älteste Yellowstone-Superausbruch fand vor ca. 2.1 Millionen Jahren statt.,Die letzte Lavaeruption (kein Superausbruch) liegt ca. 70.000 Jahre zurück.,640,todo
59,A) Welt & Natur,Naturphänomene,Wie viele Kilometer dick ist die kontinentale Erdkruste im Durchschnitt?,Die ozeanische Erdkruste ist im Durchschnitt nur ca. 6 bis 7 km dick.,Unter dem Himalaya-Gebirge ist die Kruste über 70 km dick.,35,todo
60,A) Welt & Natur,Naturphänomene,Wie viele Menschen starben offiziell beim Krakatau-Ausbruch 1883?,Der Ausbruch des Tambora (1815) forderte über 70.000 Todesopfer.,Der Ausbruch des Nevado del Ruiz (1985) forderte ca. 23.000 Todesopfer.,36417,todo
61,A) Welt & Natur,Tiere,Wie viele Herzen hat ein Oktopus?,Wir Menschen haben ein Herz - ein Oktopus hat mehr.,Ein Regenwurm hat insgesamt fünf Herzpaare.,3,todo
62,A) Welt & Natur,Tiere,Wie viele Jahre alt war der älteste untersuchte Grönlandhai?,Langlebige Wale wie der Grönlandwal erreichen ca. 200 Jahre.,Einige Riesenschildkröten werden bis zu 190 Jahre alt.,392,todo
63,A) Welt & Natur,Tiere,Wie viele Stunden schläft ein Koala durchschnittlich pro Tag?,Ein Löwe schläft ca. 13 Stunden am Tag.,Ein Faultier schläft in freier Wildbahn ca. 10 bis 15 Stunden.,20,todo
64,A) Welt & Natur,Tiere,Wie viele km/h erreicht ein Wanderfalke im Sturzflug?,Ein Gepard erreicht eine Höchstgeschwindigkeit von ca. 100 km/h.,Ein Formel-1-Wagen schafft ca. 370 km/h.,389,todo
65,A) Welt & Natur,Tiere,Wie viele Zähne verbraucht ein Weißer Hai durchschnittlich in seinem Leben?,Ein Mensch hat im bleibenden Gebiss 32 Zähne.,Ein Elefant verbraucht in seinem Leben nur insgesamt 24 Backenzähne.,30000,todo
66,A) Welt & Natur,Tiere,Wie viele Kilogramm wog das größte bisher präparierte Blauwal-Herz?,Ein Elefantenherz wiegt ca. 20 Kilogramm.,Ein menschliches Herz wiegt ca. 300 Gramm.,200,todo
67,A) Welt & Natur,Tiere,Wie viele Ameisen leben laut einer Studie (2022) auf der Erde?,Auf jeden Menschen kommen rein rechnerisch ca. 2.5 Millionen Ameisen.,Die Gesamtmasse aller Ameisen entspricht ca. 20 Prozent der Masse aller Menschen.,20 Billiarden,todo
68,A) Welt & Natur,Tiere,Wie viele Zentimeter lang kann die Zunge einer Giraffe werden?,Die Zunge eines Menschen ist ca. 10 cm lang.,Die Zunge eines Ameisenbären ist ca. 60 cm lang.,50,todo
69,A) Welt & Natur,Tiere,Wie viele Flügelschläge pro Sekunde schafft ein Rubinkehlkolibri im Normalflug?,Eine Biene schafft ca. 200 Flügelschläge pro Sekunde.,Typische Singvögel schlagen ca. 10- bis 20-mal pro Sekunde mit den Flügeln.,50,todo
70,A) Welt & Natur,Tiere,Welchen Anteil (Prozent) der Gene teilen sich Mensch und Banane?,Mit Schimpansen teilt der Mensch ca. 98 Prozent der Gene.,Sogar mit Mäusen teilt der Mensch ca. 85 Prozent der Gene.,50,todo
71,A) Welt & Natur,Pflanzen & Garten,Wie viele Jahre alt ist der Baum Methuselah (Borstenkiefer) aktuell?,Die älteste gepflanzte Olive der Welt ist ca. 3.000 Jahre alt.,Der Klonbaum Old Tjikko ist ca. 9.550 Jahre alt.,4856,todo
72,A) Welt & Natur,Pflanzen & Garten,Wie viele Zentimeter wächst die schnellste Bambusart maximal am Tag?,Die meisten Bäume wachsen nur ca. 20 bis 50 cm pro Jahr.,Haare wachsen ca. 0.04 cm pro Tag.,91,todo
73,A) Welt & Natur,Pflanzen & Garten,Wie viele verschiedene Baumarten sind weltweit offiziell registriert?,In Brasilien gibt es allein ca. 8.700 verschiedene Baumarten.,In Europa gibt es insgesamt weniger als 500 einheimische Baumarten.,60065,todo
74,A) Welt & Natur,Pflanzen & Garten,Wie viele Kilogramm wog der schwerste Kürbis der Welt (Rekord 2023)?,Ein normaler Halloween-Kürbis wiegt ca. 5 bis 10 Kilogramm.,Ein ausgewachsener Zuchtbulle wiegt ca. 1.100 Kilogramm.,1247,todo
75,A) Welt & Natur,Pflanzen & Garten,Wie viele Zentimeter hoch war der größte je gemessene Blütenstand der Titanenwurz?,Die Titanenwurz wird oft 'Leichenblume' genannt.,Die größte Sonnenblume der Welt erreichte eine Höhe von ca. 900 cm.,306,todo
76,A) Welt & Natur,Pflanzen & Garten,Welcher Anteil (Prozent) der weltweiten Landfläche ist mit Wald bedeckt?,Die landwirtschaftliche Fläche macht ca. 38 Prozent der Landfläche aus.,In Deutschland sind ca. 32 Prozent der Fläche bewaldet.,31,todo
77,A) Welt & Natur,Pflanzen & Garten,Wie viele Liter Wasser kann ein Saguaro-Kaktus nach einem Regen speichern?,Eine Badewanne fasst ca. 150 Liter Wasser.,Ein normaler Garten-Regentank fasst ca. 1.000 Liter.,2000,todo
78,A) Welt & Natur,Pflanzen & Garten,Wie viele Meter hoch ist der Baum Hyperion (höchster Baum der Welt)?,Der Schiefe Turm von Pisa ist ca. 56 Meter hoch.,Die Freiheitsstatue ist (ohne Sockel) ca. 46 Meter hoch.,116,todo
79,A) Welt & Natur,Pflanzen & Garten,Wie viele Kammern hat ein Apfel normalerweise in seinem Kerngehäuse?,Steinobst wie Kirschen hat nur einen Kern.,Zitronen haben meist 8 bis 10 Segmente.,5,todo
80,A) Welt & Natur,Pflanzen & Garten,Wie viele Kilogramm Sauerstoff produziert eine große Buche pro Jahr?,Ein Mensch verbraucht ca. 300 Kilogramm Sauerstoff pro Jahr.,Die Menge reicht aus; um ca. 10 bis 13 Menschen zu versorgen.,4000,todo
81,A) Welt & Natur,Erde & Ressourcen,Welche Kantenlänge (in Metern) hätte ein Würfel aus allem bisher geförderten Gold?,Ein olympisches Schwimmbecken ist 50 Meter lang.,Der Goldwürfel würde fast komplett in ein Standard-Schwimmbecken passen.,22,todo
82,A) Welt & Natur,Erde & Ressourcen,Wie viele Jahre reichen die weltweiten Ölreserven (beim Verbrauch von 2020) noch?,In Europa reichen die Reserven rein rechnerisch nur noch ca. 10 Jahre.,Im Nahen Osten reichen die Reserven schätzungsweise noch über 80 Jahre.,47,todo
83,A) Welt & Natur,Erde & Ressourcen,Wie viele Kilogramm Haushaltsabfall produzierte jeder Deutsche im Jahr 2021?,Im EU-Durchschnitt sind es ca. 527 kg pro Kopf.,In den USA sind es ca. 800 kg pro Kopf.,483,todo
84,A) Welt & Natur,Erde & Ressourcen,Wie viele Liter Wasser werden für die Produktion einer einzigen Jeans benötigt?,Für ein Kilogramm Rindfleisch werden ca. 15.000 Liter Wasser benötigt.,Für eine Tasse Kaffee werden ca. 140 Liter Wasser benötigt.,8000,todo
85,A) Welt & Natur,Erde & Ressourcen,Welcher Anteil (Prozent) des gesamten Wassers auf der Erde ist Süßwasser?,Über 97 Prozent des Wassers auf der Erde ist Salzwasser.,Nur ca. 1 Prozent des gesamten Wassers ist für uns Menschen leicht zugänglich.,3,todo
86,A) Welt & Natur,Erde & Ressourcen,Wie viele Meter tief ist die Kola-Bohrung (tiefstes künstliche Loch der Welt)?,Der Mount Everest ist 8.848 Meter hoch.,Die tiefsten Goldminen der Welt reichen ca. 4.000 Meter tief.,12262,todo
87,A) Welt & Natur,Erde & Ressourcen,Wie viele Smartphones wurden im Jahr 2023 weltweit ausgeliefert?,Im Jahr 2017 (Rekordjahr) waren es ca. 1.470 Millionen Stück.,Im Jahr 2023 wurden weltweit ca. 240 Millionen PCs verkauft.,1.150 Millionen,todo
88,A) Welt & Natur,Erde & Ressourcen,Welche Masse hat die gesamte Atmosphäre der Erde ca.?,Auf jedem Quadratzentimeter deiner Haut lastet ca. 1 kg Luftgewicht.,Die gesamte Biomasse der Erde (alle Lebewesen) wiegt ca. 1.1 Billionen Tonnen.,5.15 Billiarden Tonnen,todo
89,A) Welt & Natur,Erde & Ressourcen,Wie viel Plastikmüll landet laut IUCN jährlich in den Ozeanen?,Weltweit werden jährlich ca. 400 Millionen Tonnen Plastik produziert.,In den Ozeanen schwimmen insgesamt bereits über 150 Millionen Tonnen Plastik.,14 Mio. Tonnen,todo
90,A) Welt & Natur,Erde & Ressourcen,Welcher Anteil (Prozent) der Agrarflächen wird für Tierhaltung/Futter genutzt?,Tierische Produkte liefern nur ca. 18 Prozent der weltweiten Kalorien.,In Deutschland werden ca. 60 Prozent des Getreides an Tiere verfüttert.,77,todo
91,A) Welt & Natur,Weltraum & Astronomie,Wie viele Sekunden benötigt das Sonnenlicht bis zur Erde?,Licht vom Mond zur Erde braucht ca. 1.3 Sekunden.,Das Licht vom Jupiter zur Erde braucht ca. 45 Minuten.,499,todo
92,A) Welt & Natur,Weltraum & Astronomie,Wie oft passt das Volumen der Erde in das Volumen der Sonne?,Der Durchmesser der Sonne ist ca. 109-mal größer als der der Erde.,In den Planeten Jupiter passt die Erde ca. 1.300-mal hinein.,1300000,todo
93,A) Welt & Natur,Weltraum & Astronomie,Wie alt ist das Universum laut Planck-Daten?,Die Erde ist ca. 4.5 Milliarden Jahre alt.,Die Sonne brennt bereits seit ca. 4.6 Milliarden Jahren.,13.8 Milliarden Jahre,todo
94,A) Welt & Natur,Weltraum & Astronomie,Wie viele Menschen haben bisher insgesamt die Mondoberfläche betreten?,Insgesamt waren bisher über 600 Menschen im Weltraum.,Auf der Internationalen Raumstation ISS waren bisher ca. 280 Menschen.,12,todo
95,A) Welt & Natur,Weltraum & Astronomie,Was kostete ein Apollo-Raumanzug (heutiger Wert)?,Ein moderner NASA-Anzug für Außeneinsätze kostet ca. 12 Mio. USD.,Ein Flug mit der SpaceX Crew Dragon kostet ca. 60 Mio. USD pro Sitz.,150 Mio. USD,todo
96,A) Welt & Natur,Weltraum & Astronomie,Wie viele Kilogramm würde eine 100 kg schwere Person auf dem Mond wiegen?,Auf dem Mars würde dieselbe Person ca. 38 kg wiegen.,Auf dem Zwergplaneten Pluto würde die Person nur ca. 6 kg wiegen.,16.5,todo
97,A) Welt & Natur,Weltraum & Astronomie,Wie viele Sterne enthält unsere Milchstraße (Schätzung)?,Der nächste Stern (Proxima Centauri) ist ca. 4.2 Lichtjahre entfernt.,Unsere Nachbargalaxie Andromeda hat schätzungsweise 1.000 Milliarden Sterne.,100 Milliarden,todo
98,A) Welt & Natur,Weltraum & Astronomie,Wie viele Erdentage dauert eine Eigenrotation des Merkur?,Der Merkur braucht für einen Umlauf um die Sonne ca. 88 Erdentage.,Ein kompletter Tag-Nacht-Zyklus auf dem Merkur dauert 176 Erdentage.,58.6,todo
99,A) Welt & Natur,Weltraum & Astronomie,Wie viele Lichtsekunden ist der Mond durchschnittlich von der Erde entfernt?,Das Sonnenlicht braucht ca. 500 Sekunden bis zur Erde.,Funksignale zum Mars brauchen je nach Position 3 bis 20 Minuten.,1.28,todo
100,A) Welt & Natur,Weltraum & Astronomie,Wie viele aktive Satelliten befanden sich im Januar 2024 im Erdorbit?,Im Jahr 2005 waren nur ca. 810 aktive Satelliten registriert.,Im Jahr 2022 waren es bereits ca. 5.500 aktive Satelliten.,8395,todo
101,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele Jahre dauerte der Hundertjährige Krieg tatsächlich?,Der Krieg begann im 14. Jahrhundert und endete im 15. Jahrhundert.,Der Achtzigjährige Krieg dauerte ca. 80 Jahre.,116,todo
102,B) Mensch & Kultur,Geschichte & Zeitspannen,In welchem Jahr wurde das erste iPhone offiziell vorgestellt?,Im selben Jahr wurde das soziale Netzwerk Facebook für alle geöffnet.,Im selben Jahr (2007) startete Netflix erstmals sein Video-Streaming-Angebot.,2007,todo
103,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele Jahre war Queen Elizabeth II. offiziell Staatsoberhaupt?,Ihre Regierungszeit umspannte insgesamt 14 US-Präsidenten.,Königin Victoria (ihre Ur-Urgroßmutter) regierte ca. 63 Jahre lang.,70,todo
104,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele Jahre liegen zwischen dem Bau der Cheops-Pyramide und der Geburt Kleopatras?,Kleopatra lebte zeitlich näher an der Erfindung des iPhones als am Bau der Pyramide.,Der Pyramidenbau liegt zeitlich weiter von Kleopatra entfernt als wir heute.,2491,todo
